Name,NetWorth,Country,Source,Rank,Age,Industry
Ivan Chrenko,$1.7 B,Slovakia,real estate,1833,53,Real Estate
Jaroslav Hascak,$1.2 B,Slovakia,investments,2378,51,Finance & Investments
