Name,NetWorth,Country,Source,Rank,Age,Industry
Nicky Oppenheimer & family,$8 B,South Africa,diamonds,308,75,Metals & Mining
Johann Rupert & family,$7.1 B,South Africa,luxury goods,358,70,Fashion & Retail
Koos Bekker,$3 B,South Africa,"media, investments",1008,68,Media & Entertainment
Patrice Motsepe,$2.9 B,South Africa,mining,1064,59,Metals & Mining
Michiel Le Roux,$1.1 B,South Africa,banking,2524,71,Finance & Investments
