Name,NetWorth,Country,Source,Rank,Age,Industry
Majid Al Futtaim & family,$3.6 B,United Arab Emirates,"real estate, retail",831,N/A,Real Estate
Abdulla bin Ahmad Al Ghurair & family,$2.8 B,United Arab Emirates,diversified,1111,N/A,Diversified
Hussain Sajwani,$2.4 B,United Arab Emirates,real estate,1299,68,Real Estate
Abdulla Al Futtaim & family,$2.2 B,United Arab Emirates,"auto dealers, investments",1444,N/A,Automotive
