Name,NetWorth,Country,Source,Rank,Age,Industry
Lorinc Meszaros,$1.5 B,Hungary,diversified,2035,55,Diversified
Sandor Csanyi,$1.2 B,Hungary,"finance, real estate",2378,68,Diversified
