Name,NetWorth,Country,Source,Rank,Age,Industry
Maria Fernanda Amorim & family,$4.7 B,Portugal,"energy, investments",608,86,Diversified
José Neves,$2.5 B,Portugal,luxury fashion,1249,46,Fashion & Retail
