Name,NetWorth,Country,Source,Rank,Age,Industry
Iris Fontbona & family,$23.3 B,Chile,mining,74,78,Metals & Mining
Julio Ponce Lerou,$4.1 B,Chile,fertilizer,705,75,Metals & Mining
Horst Paulmann & family,$3.3 B,Chile,retail,925,86,Fashion & Retail
Sebastian Piñera & family,$2.9 B,Chile,investments,1064,71,Finance & Investments
Jean Salata,$2.4 B,Chile,finance,1299,55,Finance & Investments
Roberto Angelini Rossi,$2 B,Chile,"forestry, mining",1580,72,Diversified
Alvaro Saieh Bendeck,$1.8 B,Chile,banking,1750,71,Finance & Investments
Patricia Angelini Rossi,$1.6 B,Chile,"forestry, mining",1931,67,Diversified
Luis Enrique Yarur Rey,$1.3 B,Chile,banking,2263,70,Finance & Investments
