Name,NetWorth,Country,Source,Rank,Age,Industry
Aziz Akhannouch & family,$1.9 B,Morocco,"petroleum, diversified",1664,60,Diversified
Othman Benjelloun & family,$1.3 B,Morocco,"banking, insurance",2263,88,Finance & Investments
