Name,NetWorth,Country,Source,Rank,Age,Industry
Nassef Sawiris,$8.3 B,Egypt,"construction, investments",297,60,Construction & Engineering
Naguib Sawiris,$3.2 B,Egypt,telecom,956,66,Telecom
Mohamed Mansour,$2.5 B,Egypt,diversified,1249,73,Diversified
Mohamed Al Fayed,$1.8 B,Egypt,"retail, investments",1750,92,Fashion & Retail
Youssef Mansour,$1.5 B,Egypt,diversified,2035,75,Diversified
Yasseen Mansour,$1.1 B,Egypt,diversified,2524,59,Diversified
