Name,NetWorth,Country,Source,Rank,Age,Industry
Faisal Bin Qassim Al Thani,$1.6 B,Qatar,"hotels, diversified",1931,73,Diversified
Hamad bin Jassim bin Jaber Al Thani,$1.3 B,Qatar,investments,2263,61,Finance & Investments
