Name,NetWorth,Country,Source,Rank,Age,Industry
Aliko Dangote,$11.5 B,Nigeria,"cement, sugar",191,63,Manufacturing
Mike Adenuga,$6.1 B,Nigeria,"telecom, oil",440,67,Diversified
Abdulsamad Rabiu,$4.9 B,Nigeria,"cement, sugar",574,60,Diversified
