Name,NetWorth,Country,Source,Rank,Age,Industry
Luis Carlos Sarmiento,$11 B,Colombia,banking,200,88,Finance & Investments
David Velez,$5.2 B,Colombia,fintech,539,39,Finance & Investments
Beatriz Davila de Santo Domingo,$3.9 B,Colombia,beer,752,82,Food & Beverage
Jaime Gilinski Bacal,$3.8 B,Colombia,banking,775,63,Finance & Investments
Carlos Ardila Lülle,$2.3 B,Colombia,"soft drinks, diversified",1362,90,Food & Beverage
